,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
3252,Lincoln,5.77,0.748,0.209,0.4,0.672,0.497
3254,Manitowoc,3.555,0.746,0.324,0.487,0.628,0.413
3256,Marathon,5.49,0.621,0.243,0.703,0.615,0.432
3258,Marinette,9.129,0.672,0.124,0.583,0.56,0.422
3260,Marquette,9.45,0.787,0.115,0.422,0.655,0.393
3262,Menominee,2.719,0.7,0.269,0.331,0.193,0.725
3264,Milwaukee,2.41,0.666,0.363,0.564,0.467,0.363
3266,Monroe,7.83,0.77,0.156,0.511,0.616,0.411
3268,Oconto,9.305,0.832,0.137,0.491,0.634,0.398
3270,Oneida,14.162,0.703,0.096,0.498,0.691,0.509
3272,Outagamie,2.625,0.717,0.558,0.603,0.69,0.438
3274,Ozaukee,3.323,0.664,0.266,0.347,0.646,0.463
3276,Pepin,5.268,0.981,0.171,0.295,0.592,0.395
3278,Pierce,4.407,0.759,0.248,0.423,0.678,0.399
3280,Polk,11.957,0.799,0.114,0.416,0.729,0.473
3282,Portage,6.917,0.783,0.164,0.499,0.618,0.367
3284,Price,13.61,0.714,0.092,0.409,0.735,0.499
3286,Racine,1.644,0.666,0.443,0.374,0.543,0.419
3288,Richland,9.231,0.701,0.086,0.382,0.61,0.375
3290,Rock,3.392,0.699,0.32,0.566,0.516,0.419
3292,Rusk,4.822,0.747,0.185,0.34,0.568,0.477
3294,Sauk,7.189,0.726,0.174,0.566,0.659,0.375
3296,Sawyer,14.673,0.825,0.08,0.308,0.586,0.593
3298,Shawano,13.389,0.747,0.091,0.503,0.639,0.418
3300,Sheboygan,4.71,0.711,0.227,0.46,0.616,0.434
3302,St. Croix,4.311,0.761,0.312,0.52,0.673,0.431
3304,Taylor,11.802,0.834,0.098,0.385,0.628,0.46
3306,Trempealeau,10.594,0.84,0.113,0.476,0.594,0.401
3308,Vernon,8.075,0.762,0.119,0.408,0.643,0.371
3310,Vilas,13.874,0.81,0.113,0.436,0.611,0.64
3312,Walworth,2.856,0.683,0.37,0.51,0.519,0.474
3314,Washburn,13.514,0.829,0.086,0.324,0.663,0.5
3316,Washington,2.18,0.674,0.494,0.463,0.706,0.398
3318,Waukesha,1.899,0.701,0.609,0.522,0.671,0.381
3320,Waupaca,8.698,0.79,0.152,0.509,0.726,0.365
3322,Waushara,4.208,0.793,0.247,0.454,0.606,0.37
3324,Winnebago,1.73,0.669,0.535,0.46,0.578,0.416
3326,Wood,4.618,0.698,0.258,0.54,0.631,0.417
3328,Region 6,3.06,0.584,0.239,0.394,0.474,0.422
3330,Arkansas,2.668,0.533,0.235,0.393,0.451,0.445
3332,Arkansas,3.82,0.577,0.216,0.395,0.566,0.513
3334,Ashley,4.147,0.533,0.139,0.346,0.527,0.456
3336,Baxter,3.38,0.489,0.18,0.433,0.455,0.486
3338,Benton,1.568,0.524,0.596,0.71,0.466,0.396
3340,Boone,3.461,0.512,0.171,0.383,0.585,0.401
3342,Bradley,2.627,0.409,0.123,0.309,0.416,0.468
3344,Calhoun,3.076,0.609,0.15,0.31,0.379,0.483
3346,Carroll,4.47,0.498,0.114,0.482,0.484,0.319
3348,Chicot,1.746,0.56,0.165,0.267,0.387,0.424
3350,Clark,4.836,0.495,0.134,0.407,0.546,0.469
3352,Clay,2.893,0.594,0.164,0.366,0.424,0.402
3354,Cleburne,1.799,0.6,0.352,0.421,0.49,0.395
3356,Cleveland,2.031,0.528,0.119,0.301,0.329,0.412
3358,Columbia,2.736,0.559,0.229,0.384,0.494,0.457
3360,Conway,2.38,0.648,0.259,0.357,0.516,0.401
3362,Craighead,2.665,0.532,0.281,0.542,0.487,0.41
3364,Crawford,4.86,0.557,0.177,0.519,0.474,0.499
3366,Crittenden,1.538,0.676,0.469,0.427,0.419,0.449
3368,Cross,4.306,0.673,0.182,0.375,0.558,0.435
3370,Dallas,1.906,0.429,0.14,0.257,0.487,0.398
3372,Desha,1.788,0.605,0.232,0.307,0.379,0.457
3374,Drew,3.64,0.567,0.114,0.351,0.385,0.424
3376,Faulkner,1.464,0.628,0.505,0.461,0.494,0.398
3378,Franklin,2.781,0.494,0.214,0.392,0.411,0.551
3380,Fulton,1.716,0.429,0.185,0.36,0.438,0.374
3382,Garland,1.428,0.46,0.345,0.426,0.441,0.435
3384,Grant,4.859,0.621,0.123,0.394,0.422,0.44
3386,Greene,1.799,0.589,0.274,0.416,0.429,0.36
3388,Hempstead,1.664,0.451,0.308,0.468,0.397,0.451
