,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
5420,Clark,7.588,0.802,0.089,0.246,0.64,0.377
5422,Clay,6.398,0.63,0.067,0.325,0.508,0.333
5424,Codington,12.077,0.732,0.086,0.38,0.739,0.387
5426,Corson,2.178,0.737,0.162,0.287,0.135,0.59
5428,Custer,5.075,0.598,0.198,0.395,0.713,0.497
5430,Davison,4.673,0.622,0.155,0.365,0.772,0.275
5432,Day,17.07,0.776,0.079,0.333,0.886,0.456
5434,Deuel,15.918,0.807,0.055,0.335,0.636,0.382
5436,Dewey,2.902,0.594,0.178,0.311,0.326,0.569
5438,Douglas,3.224,0.782,0.176,0.272,0.711,0.246
5440,Edmunds,9.82,0.649,0.088,0.332,0.849,0.319
5442,Fall River,3.314,0.642,0.199,0.27,0.648,0.419
5444,Faulk,5.685,0.741,0.08,0.226,0.611,0.329
5446,Grant,14.782,0.756,0.086,0.372,0.793,0.46
5448,Gregory,3.235,0.772,0.151,0.258,0.588,0.322
5450,Haakon,1.77,0.603,0.275,0.254,0.721,0.29
5452,Hamlin,12.392,0.691,0.061,0.331,0.696,0.341
5454,Hand,4.96,0.725,0.117,0.238,0.674,0.341
5456,Hanson,5.115,0.858,0.089,0.291,0.462,0.344
5458,Harding,1.408,0.61,0.212,0.234,0.519,0.345
5460,Hughes,10.621,0.754,0.12,0.394,0.855,0.391
5462,Hutchinson,5.296,0.686,0.156,0.355,0.756,0.314
5464,Hyde,2.385,0.671,0.076,0.223,0.511,0.273
5466,Jackson,1.875,0.667,0.229,0.281,0.384,0.464
5468,Jerauld,1.664,0.703,0.221,0.226,0.593,0.308
5470,Jones,3.866,0.76,0.113,0.255,0.612,0.282
5472,Kingsbury,7.736,0.753,0.144,0.334,0.84,0.381
5474,Lake,8.827,0.623,0.089,0.315,0.701,0.427
5476,Lawrence,4.237,0.665,0.256,0.431,0.639,0.498
5478,Lincoln,4.209,0.677,0.252,0.491,0.691,0.366
5480,Lyman,3.852,0.77,0.153,0.338,0.488,0.369
5482,Marshall,4.97,0.767,0.159,0.302,0.549,0.468
5484,McCook,6.654,0.75,0.158,0.356,0.83,0.334
5486,McPherson,3.915,0.777,0.092,0.257,0.421,0.387
5488,Meade,4.353,0.652,0.212,0.443,0.732,0.323
5490,Mellette,0.276,0.494,0.189,0.226,0.3,0.373
5492,Miner,2.501,0.612,0.077,0.249,0.528,0.25
5494,Minnehaha,3.177,0.655,0.324,0.597,0.647,0.289
5496,Moody,12.228,0.847,0.076,0.269,0.618,0.474
5498,Oglala Lakota,2.567,0.581,0.153,0.394,0.131,0.557
5500,Pennington,4.935,0.648,0.264,0.649,0.649,0.41
5502,Perkins,2.156,0.801,0.208,0.178,0.741,0.257
5504,Potter,0.795,0.728,0.081,0.069,0.617,0.282
5506,Roberts,20.901,0.83,0.084,0.38,0.784,0.638
5508,Sanborn,0.296,0.652,0.14,0.2,0.415,0.291
5510,Spink,9.85,0.722,0.086,0.339,0.754,0.32
5512,Stanley,6.205,0.818,0.137,0.303,0.691,0.355
5514,Sully,4.497,0.615,0.094,0.216,0.654,0.337
5516,Todd,3.055,0.582,0.142,0.336,0.173,0.613
5518,Tripp,2.502,0.648,0.15,0.241,0.633,0.282
5520,Turner,6.513,0.799,0.185,0.345,0.841,0.381
5522,Union,8.561,0.703,0.11,0.427,0.634,0.392
5524,Walworth,7.781,0.672,0.087,0.24,0.777,0.34
5526,Yankton,6.984,0.73,0.133,0.319,0.771,0.368
5528,Ziebach,0.753,0.828,0.231,0.261,0.134,0.508
5530,Utah,7.259,0.67,0.211,0.495,0.617,0.463
5532,Beaver,10.117,0.727,0.135,0.552,0.59,0.507
5534,Box Elder,7.366,0.755,0.167,0.599,0.635,0.319
5536,Cache,4.753,0.664,0.267,0.541,0.638,0.494
5538,Carbon,6.668,0.584,0.12,0.438,0.564,0.444
5540,Daggett,6.685,0.761,0.128,0.311,0.404,0.61
5542,Davis,1.357,0.639,0.711,0.424,0.655,0.445
5544,Duchesne,14.008,0.761,0.075,0.423,0.589,0.449
5546,Emery,9.925,0.631,0.125,0.54,0.663,0.495
5548,Garfield,7.351,0.657,0.146,0.493,0.615,0.454
5550,Grand,5.433,0.523,0.147,0.372,0.606,0.547
5552,Iron,8.863,0.631,0.136,0.61,0.592,0.457
5554,Juab,8.609,0.78,0.148,0.436,0.783,0.38
5556,Kane,9.396,0.62,0.107,0.412,0.688,0.479
5558,Millard,11.18,0.698,0.112,0.576,0.578,0.455
5560,Morgan,6.623,0.673,0.155,0.462,0.701,0.371
5562,Piute,6.188,0.678,0.103,0.252,0.399,0.605
5564,Rich,6.337,0.541,0.11,0.393,0.604,0.427
5566,Salt Lake,1.573,0.667,0.775,0.768,0.612,0.236
5568,San Juan,8.578,0.642,0.127,0.481,0.617,0.492
5570,Sanpete,8.578,0.712,0.137,0.446,0.681,0.46
5572,Apache,10.466,0.65,0.125,0.741,0.443,0.473
5574,Cochise,8.158,0.586,0.123,0.726,0.47,0.348
5576,Coconino,13.333,0.65,0.132,0.906,0.573,0.472
5578,Gila,7.544,0.556,0.112,0.528,0.495,0.463
5580,Graham,7.635,0.625,0.108,0.427,0.54,0.457
5582,Greenlee,6.192,0.572,0.13,0.378,0.481,0.59
5584,La Paz,3.008,0.549,0.187,0.547,0.363,0.346
5586,Maricopa,2.111,0.66,0.662,0.942,0.471,0.276
5588,Mohave,8.288,0.632,0.122,0.83,0.365,0.275
5590,Navajo,11.31,0.602,0.131,0.804,0.513,0.534
5592,Pima,7.001,0.649,0.225,0.895,0.454,0.465
5594,Pinal,4.616,0.594,0.249,0.873,0.389,0.343
5596,Santa Cruz,5.316,0.64,0.123,0.42,0.399,0.456
5598,Yavapai,9.728,0.612,0.131,0.896,0.504,0.286
5600,Yuma,5.677,0.61,0.179,0.731,0.415,0.368
5602,California,3.897,0.498,0.279,0.641,0.485,0.461
5604,Alameda,1.436,0.394,0.501,0.72,0.549,0.338
5606,Alpine,2.56,0.749,0.318,0.37,0.276,0.633
5608,Amador,2.698,0.523,0.191,0.427,0.489,0.36
5610,Butte,3.938,0.484,0.211,0.721,0.397,0.414
5612,Calaveras,4.227,0.464,0.131,0.494,0.553,0.32
5614,Colusa,2.453,0.482,0.147,0.39,0.359,0.41
5616,Contra Costa,1.175,0.403,0.651,0.734,0.525,0.371
5618,Del Norte,3.443,0.521,0.191,0.407,0.374,0.586
5620,El Dorado,4.823,0.557,0.209,0.623,0.538,0.444
5622,Fresno,5.014,0.47,0.241,0.96,0.478,0.435
5624,Glenn,3.272,0.552,0.149,0.367,0.379,0.471
5626,Humboldt,8.059,0.462,0.148,0.805,0.511,0.58
5628,Imperial,9.285,0.654,0.155,0.894,0.379,0.438
5630,Inyo,5.004,0.571,0.253,0.605,0.668,0.525
5632,Kern,4.615,0.433,0.213,0.99,0.389,0.35
5634,Kings,2.265,0.58,0.201,0.632,0.345,0.172
5636,Lake,1.676,0.195,0.16,0.49,0.36,0.552
5638,Lassen,11.003,0.632,0.117,0.63,0.529,0.535
5640,Los Angeles,1.936,0.486,0.576,0.881,0.535,0.363
5642,Madera,4.165,0.437,0.182,0.695,0.451,0.403
5644,Marin,5.032,0.447,0.159,0.414,0.545,0.656
5646,Mariposa,1.296,0.229,0.272,0.476,0.515,0.512
5648,Mendocino,6.181,0.466,0.157,0.723,0.533,0.452
5650,Merced,2.967,0.583,0.25,0.688,0.362,0.296
5652,Modoc,4.731,0.534,0.139,0.435,0.434,0.498
5654,Mono,12.921,0.525,0.089,0.586,0.644,0.553
5656,Monterey,2.231,0.175,0.187,0.809,0.493,0.513
5658,Napa,1.24,0.307,0.37,0.458,0.518,0.512
5660,Nevada,5.594,0.573,0.198,0.596,0.536,0.525
5662,Orange,1.317,0.543,0.763,0.736,0.57,0.312
5664,Placer,2.994,0.618,0.424,0.711,0.575,0.418
5666,Plumas,3.901,0.539,0.291,0.635,0.527,0.561
5668,Riverside,3.496,0.591,0.453,0.934,0.488,0.5
5670,Sacramento,1.907,0.568,0.626,0.763,0.59,0.37
5672,San Benito,4.763,0.583,0.124,0.427,0.453,0.402
5674,San Bernandino,7.519,0.589,0.215,0.985,0.48,0.479
5676,San Diego,3.767,0.542,0.386,0.907,0.52,0.507
5678,San Francisco,5.591,0.792,0.24,0.429,0.53,0.614
5680,San Joaquin,1.624,0.59,0.564,0.724,0.447,0.304
5682,San Luis Obispo,2.721,0.452,0.439,0.861,0.606,0.471
5684,San Mateo,3.954,0.423,0.186,0.557,0.539,0.485
5686,Santa Barbara,7.179,0.556,0.224,0.83,0.559,0.645
5688,Santa Clara,2.166,0.406,0.363,0.682,0.552,0.42
5690,Santa Cruz,4.203,0.454,0.173,0.382,0.532,0.625
5692,Shasta,6.492,0.416,0.134,0.799,0.462,0.429
5694,Sierra,4.434,0.556,0.157,0.366,0.406,0.6
5696,Siskiyou,2.107,0.395,0.398,0.74,0.541,0.44
5698,Solano,1.509,0.433,0.455,0.607,0.522,0.383
5700,Sonoma,3.67,0.381,0.251,0.783,0.564,0.497
5702,Stanislaus,1.623,0.503,0.477,0.717,0.432,0.317
5704,Sutter,2.546,0.571,0.192,0.47,0.437,0.303
5706,Tehama,2.773,0.56,0.299,0.55,0.406,0.495
5708,Trinity,2.548,0.489,0.271,0.428,0.405,0.6
5710,Tulare,4.284,0.351,0.186,0.895,0.44,0.415
5712,Tuolumne,3.73,0.417,0.171,0.57,0.476,0.438
5714,Ventura,3.766,0.534,0.384,0.751,0.55,0.66
5716,Yolo,2.664,0.538,0.317,0.564,0.514,0.429
5718,Yuba,1.534,0.576,0.233,0.372,0.362,0.374
5720,Hawaii,16.531,0.739,0.092,0.57,0.589,0.479
5722,Hawaii,17.909,0.781,0.107,0.74,0.626,0.508
5724,Honolulu,15.57,0.86,0.147,0.698,0.639,0.631
5726,Kalawao,1.492,0.421,0.068,0.26,0.308,0.383
5728,Kauai,20.062,0.789,0.074,0.559,0.733,0.383
5730,Maui,27.62,0.846,0.063,0.595,0.64,0.492
5732,Kodiak Island,189.172,0.702,0.01,0.557,0.474,0.928
5734,Lake and Peninsula,20.715,0.606,0.045,0.488,0.247,0.718
5736,North Slope,51.674,0.638,0.038,0.747,0.365,0.959
5738,Petersburg,39.241,0.762,0.026,0.318,0.604,0.538
5740,Prince of Wales-Hyder,55.456,0.608,0.018,0.573,0.443,0.487
5742,Sitka City and Skagway,45.338,0.767,0.036,0.398,0.681,0.709
5744,Municipality,30.968,0.944,0.028,0.245,0.52,0.501
5746,Valdez-Cordova,11.163,0.641,0.126,0.689,0.603,0.475
5748,Wrangell City and,33.133,0.523,0.011,0.269,0.373,0.52
5750,Yakutat City and,27.305,0.662,0.044,0.256,0.449,0.924
5752,Idaho,8.774,0.666,0.137,0.42,0.545,0.537
5754,Ada,3.77,0.625,0.345,0.562,0.58,0.586
5756,Adams,12.908,0.72,0.093,0.376,0.573,0.627
5758,Bannock,6.919,0.645,0.19,0.519,0.615,0.587
5760,Bear Lake,3.113,0.269,0.102,0.284,0.632,0.48
5762,Benewah,16.565,0.79,0.062,0.326,0.476,0.612
5764,Bingham,7.274,0.595,0.146,0.492,0.626,0.507
5766,Blaine,16.076,0.744,0.101,0.55,0.683,0.563
5768,Boise,8.875,0.624,0.106,0.5,0.313,0.637
5770,Bonner,20.557,0.616,0.064,0.636,0.582,0.531
5772,Bonneville,4.295,0.623,0.282,0.574,0.647,0.465
5774,Boundary,17.607,0.662,0.072,0.443,0.666,0.576
5776,Butte,3.197,0.677,0.141,0.256,0.403,0.485
5778,Camas,2.27,0.894,0.084,0.213,0.171,0.532
5780,Canyon,1.917,0.651,0.431,0.507,0.518,0.366
5782,Caribou,6.409,0.783,0.142,0.332,0.568,0.473
5784,Cassia,11.75,0.66,0.101,0.452,0.644,0.542
5786,Clark,0.944,0.766,0.313,0.243,0.254,0.503
5788,Clearwater,8.102,0.623,0.144,0.417,0.609,0.637
5790,Custer,7.015,0.659,0.173,0.419,0.592,0.636
5792,Elmore,12.465,0.723,0.116,0.549,0.508,0.624
5794,Franklin,6.364,0.616,0.13,0.411,0.529,0.493
5796,Fremont,9.271,0.753,0.131,0.414,0.612,0.531
5798,Gem,8.001,0.697,0.106,0.344,0.514,0.526
5800,Gooding,8.57,0.552,0.102,0.424,0.566,0.542
5802,Idaho,12.923,0.72,0.108,0.531,0.666,0.496
5804,Jefferson,11,0.615,0.095,0.412,0.673,0.524
5806,Jerome,7.811,0.667,0.133,0.514,0.485,0.504
5808,Kootenai,10.106,0.64,0.151,0.725,0.573,0.538
5810,Latah,21.018,0.634,0.046,0.488,0.538,0.473
5812,Lemhi,7.246,0.618,0.117,0.347,0.694,0.439
5814,Lewis,6.81,0.857,0.177,0.285,0.458,0.71
5816,Lincoln,5.931,0.623,0.151,0.27,0.536,0.676
5818,Madison,6.932,0.799,0.157,0.43,0.542,0.469
5820,Minidoka,8.853,0.659,0.093,0.333,0.487,0.571
5822,Nez Perce,12.597,0.689,0.105,0.48,0.612,0.582
5824,Oneida,4.51,0.669,0.146,0.246,0.546,0.51
5826,Owyhee,7.633,0.675,0.106,0.367,0.43,0.559
5828,Payette,4.066,0.568,0.135,0.359,0.44,0.465
5830,Power,5.356,0.61,0.115,0.349,0.476,0.465
5832,Shoshone,6.408,0.718,0.085,0.261,0.49,0.449
5834,Teton,9.913,0.782,0.124,0.427,0.622,0.492
5836,Twin Falls,8.948,0.562,0.125,0.592,0.599,0.501
5838,Valley,17.87,0.652,0.088,0.506,0.812,0.602
5840,Washington,5.882,0.568,0.101,0.321,0.434,0.542
5842,Oregon,7.145,0.618,0.149,0.499,0.465,0.517
5844,Baker,11.961,0.6,0.089,0.475,0.554,0.58
5846,Benton,5.144,0.669,0.176,0.468,0.432,0.511
5848,Clackamas,7.105,0.576,0.189,0.698,0.562,0.554
5850,Clatsop,6.299,0.604,0.098,0.412,0.461,0.415
5852,Columbia,3.875,0.686,0.167,0.4,0.408,0.438
5854,Coos,5.082,0.511,0.124,0.509,0.411,0.433
5856,Crook,6.593,0.622,0.13,0.416,0.517,0.509
5858,Curry,2.809,0.568,0.253,0.353,0.489,0.55
5860,Deschutes,13.496,0.745,0.123,0.661,0.561,0.553
5862,Douglas,6.993,0.515,0.163,0.837,0.429,0.461
5864,Gilliam,6.547,0.69,0.066,0.287,0.37,0.461
5866,Grant,11.587,0.814,0.108,0.372,0.521,0.616
5868,Harney,8.136,0.584,0.1,0.373,0.489,0.584
5870,Hood River,5.421,0.495,0.147,0.392,0.552,0.601
5872,Jackson,7.281,0.559,0.159,0.727,0.428,0.526
5874,Jefferson,6.224,0.618,0.125,0.485,0.391,0.487
5876,Josephine,4.082,0.437,0.142,0.477,0.399,0.518
5878,Klamath,8.713,0.588,0.121,0.703,0.435,0.435
5880,Lake,6.54,0.591,0.117,0.431,0.437,0.524
5882,Lane,8.488,0.648,0.18,0.871,0.485,0.44
5884,Lincoln,5.446,0.601,0.138,0.47,0.421,0.477
5886,Linn,6.444,0.556,0.167,0.646,0.486,0.51
5888,Malheur,13.153,0.728,0.098,0.506,0.45,0.625
5890,Marion,5.282,0.514,0.184,0.628,0.531,0.477
5892,Morrow,5.703,0.644,0.099,0.428,0.396,0.39
5894,Multnomah,2.196,0.545,0.419,0.559,0.476,0.514
5896,Polk,5.243,0.647,0.161,0.44,0.467,0.492
5898,Sherman,8.02,0.782,0.055,0.269,0.279,0.529
5900,Tillamook,6.278,0.631,0.155,0.487,0.5,0.515
5902,Umatilla,12.495,0.675,0.112,0.697,0.501,0.5
5904,Union,12.628,0.686,0.096,0.468,0.552,0.586
5906,Wallowa,10.14,0.658,0.12,0.322,0.698,0.659
5908,Wasco,12.989,0.64,0.078,0.496,0.465,0.548
5910,Washington,1.983,0.562,0.405,0.419,0.501,0.54
5912,Wheeler,2.76,0.761,0.081,0.21,0.232,0.519
5914,Yamhill,4.073,0.51,0.207,0.561,0.445,0.522
5916,Washington,6.883,0.648,0.182,0.524,0.465,0.485
5918,Adams,5.951,0.684,0.08,0.422,0.329,0.375
5920,Asotin,13.269,0.635,0.054,0.332,0.475,0.533
5922,Benton,6.182,0.567,0.17,0.613,0.477,0.521
5924,Chelan,10.756,0.701,0.128,0.59,0.55,0.53
5926,Clallam,10.133,0.584,0.085,0.508,0.514,0.451
5928,Clark,1.59,0.55,0.447,0.46,0.478,0.458
5930,Columbia,2.91,0.526,0.165,0.235,0.51,0.524
5932,Cowlitz,6.855,0.655,0.12,0.501,0.412,0.45
5934,Douglas,3.731,0.693,0.254,0.49,0.416,0.506
5936,Ferry,6.396,0.691,0.122,0.338,0.351,0.626
5938,Franklin,4.886,0.668,0.158,0.461,0.486,0.396
5940,Garfield,3.381,0.646,0.101,0.226,0.397,0.466
5942,Grant,8.958,0.657,0.155,0.699,0.458,0.551
5944,Grays Harbor,9.313,0.616,0.096,0.597,0.4,0.436
5946,Island,4.087,0.82,0.192,0.374,0.456,0.432
5948,Jefferson,4.164,0.437,0.152,0.468,0.518,0.479
5950,King,3.328,0.686,0.527,0.864,0.521,0.501
5952,Kitsap,2.375,0.619,0.266,0.499,0.443,0.335
5954,Kittitas,6.399,0.735,0.2,0.575,0.499,0.498
5956,Klickitat,9.349,0.654,0.119,0.558,0.503,0.497
5958,Lewis,7.34,0.641,0.144,0.613,0.451,0.46
5960,Lincoln,9.452,0.687,0.114,0.524,0.624,0.385
5962,Mason,7.566,0.563,0.101,0.499,0.406,0.5
5964,Okanogan,8.339,0.665,0.138,0.609,0.503,0.454
5966,Pacific,5.751,0.594,0.092,0.448,0.387,0.382
5968,Pend Oreille,13.128,0.697,0.081,0.447,0.43,0.603
5970,Pierce,2.392,0.659,0.571,0.727,0.489,0.476
5972,San Juan,15.937,0.716,0.095,0.432,0.638,0.694
5974,Skagit,9.14,0.675,0.141,0.569,0.507,0.57
5976,Skamania,6.999,0.668,0.124,0.391,0.406,0.593
5978,Snohomish,6.181,0.634,0.263,0.722,0.541,0.641
5980,Spokane,4.593,0.65,0.272,0.715,0.513,0.408
5982,Stevens,10.228,0.659,0.108,0.581,0.5,0.466
5984,Thurston,2.187,0.696,0.531,0.564,0.522,0.464
5986,Wahkiakum,-0.727,0.595,0.179,0.153,0.202,0.396
5988,Walla Walla,7.648,0.657,0.103,0.543,0.432,0.369
5990,Whatcom,7.693,0.638,0.188,0.694,0.533,0.557
5992,Whitman,12.743,0.677,0.086,0.703,0.402,0.391
5994,Yakima,7.823,0.661,0.174,0.705,0.438,0.538
